CLASS,OPEN,CLOSE,MA20,MA20-CLOSE,MA60,MA60-CLOSE,MA200,MA200-CLOSE,20-60 CROSS,20-200CROSS,60-200CROSS,EMA20
0,1274.365,1296.06,1383.35105,1,1409.565533,1,1579.80382,1,0,0,0,1276.43119
0,1296.828,1300.265,1378.52615,1,1406.4692,1,1577.764195,1,0,0,0,1296.460476
0,1300.265,1283.84,1372.7849,1,1403.308983,1,1575.62703,1,0,0,0,1298.700714
1,1283.803,1274.813,1367.6674,1,1402.18105,1,1573.40018,1,0,0,0,1282.980286
1,1274.791,1228.332,1361.68655,1,1400.579233,1,1570.96315,1,0,0,0,1270.386238
1,1228.376,1205.132,1352.4679,1,1398.1645,1,1568.6009,1,0,0,0,1226.122476
1,1205.164,1233.06,1342.79625,1,1395.0131,1,1566.35574,1,0,0,0,1207.79181
1,1232.315,1239.396,1334.39125,1,1392.172017,1,1564.12231,1,0,0,0,1233.663429
1,1239.429,1252.51,1325.77305,1,1389.3537,1,1561.828765,1,0,0,0,1240.644952
1,1252.517,1244.805,1319.27945,1,1386.494533,1,1559.46828,1,0,0,0,1251.77619
1,1244.851,1255.451,1312.3041,1,1383.673617,1,1557.085475,1,0,0,0,1245.818905
1,1255.366,1248.006,1305.8751,1,1380.7653,1,1554.671975,1,0,0,0,1254.741952
1,1247.971,1222.78,1299.3978,1,1377.0134,1,1552.1123,1,0,0,0,1245.603524
1,1222.43,1218.728,1291.2274,1,1373.036767,1,1549.57378,1,0,0,0,1222.394095
1,1218.825,1233.895,1282.88615,1,1368.932017,1,1547.11216,1,0,0,0,1220.172476
1,1233.896,1248.82,1275.0654,1,1364.940767,1,1544.734745,1,0,0,0,1235.316429
1,1248.831,1283.019,1267.99925,0,1361.151767,1,1542.572125,1,0,0,0,1252.077048
1,1283.038,1285.705,1262.9315,0,1358.221917,1,1540.43284,1,0,0,0,1283.27481
1,1285.719,1284.05,1258.76225,0,1355.187667,1,1538.265635,1,0,0,0,1285.547381
1,1283.799,1289.332,1255.6516,0,1352.08265,1,1536.062795,1,0,0,0,1284.553048
1,1289.335,1282.412,1256.39995,0,1349.061767,1,1533.84289,1,0,0,0,1288.672952
1,1282.416,1290.536,1255.71755,0,1346.0202,1,1531.642485,1,0,0,0,1283.185714
1,1290.555,1277.12,1255.2311,0,1343.359833,1,1529.379955,1,0,0,0,1289.258286
1,1277.102,1284.778,1254.8951,0,1340.114033,1,1527.051135,1,0,0,0,1277.849333
0,1284.794,1294.44,1255.39335,0,1337.2687,1,1524.77138,1,0,0,0,1285.69819
0,1295.307,1313.1,1258.69875,0,1334.73745,1,1522.589465,1,0,0,0,1296.217143
0,1313.125,1334.533,1264.09715,0,1332.664267,0,1520.553245,1,0,0,0,1315.141238
0,1334.543,1343.057,1269.1708,0,1330.98465,0,1518.656735,1,0,0,0,1335.34481
0,1343.11,1318.905,1274.35385,0,1329.535083,1,1516.6219,1,0,0,0,1340.75681
0,1318.94,1335.632,1277.6736,0,1328.250917,0,1514.72767,1,0,0,0,1320.498048
0,1335.65,1332.914,1282.21495,0,1327.39245,0,1512.80937,1,0,0,0,1335.373143
0,1333.259,1330.812,1286.0881,0,1326.954067,0,1510.884395,1,0,0,0,1332.71381
0,1330.855,1326.247,1290.2284,0,1326.661933,1,1509.040135,1,0,0,0,1330.377238
0,1326.263,1327.845,1295.40175,0,1325.618583,0,1507.21745,1,0,0,0,1326.39919
1,1327.86,1326.123,1300.8576,0,1324.796267,0,1505.347445,1,0,0,0,1327.681
1,1326.153,1307.19,1305.469,0,1324.17965,1,1503.364065,1,0,0,0,1324.319857
1,1307.19,1310.954,1308.3875,0,1322.83285,1,1501.4017,1,0,0,0,1307.548476
1,1311.78,1312.505,1309.78425,0,1321.578083,1,1499.40699,1,0,0,0,1311.101714
1,1312.54,1303.751,1311.12425,1,1320.350833,1,1497.38015,1,0,0,0,1311.671286
1,1303.763,1282.196,1312.1093,1,1318.810317,1,1495.2462,1,0,0,0,1301.698143
1,1282.21,1284.86,1311.7525,1,1317.167833,1,1493.187405,1,0,0,0,1282.449714
1,1284.852,1312.773,1311.8749,0,1315.372867,1,1491.27295,1,0,0,0,1287.518381
1,1312.78,1314.211,1312.98675,0,1313.667583,0,1489.3683,1,0,0,0,1312.909952
1,1314.3,1329.174,1314.8413,0,1312.467933,0,1487.529245,1,1,0,0,1315.636048
1,1329.192,1332.991,1317.0611,0,1311.380333,0,1485.81294,1,1,0,0,1329.537524
1,1332.979,1321.438,1318.98865,0,1310.051767,0,1484.082695,1,1,0,0,1331.890714
1,1321.436,1342.48,1319.40555,0,1308.766317,0,1482.55349,1,1,0,0,1323.442
1,1342.51,1362.963,1319.8029,0,1307.788317,0,1481.08543,1,1,0,0,1344.430762
1,1362.986,1375.96,1320.7982,0,1306.975033,0,1479.67605,1,1,0,0,1364.20081
1,1374.056,1376.815,1323.65095,0,1306.868,0,1478.26933,1,1,0,0,1376.041429
1,1376.815,1367.34,1325.7101,0,1306.74305,0,1476.814895,1,1,0,0,1375.912619
1,1367.34,1368.608,1327.4314,0,1306.464867,0,1475.34798,1,1,0,0,1367.460762
1,1368.581,1358.56,1329.3212,0,1306.3158,0,1473.863775,1,1,0,0,1367.651048
0,1358.54,1374.683,1330.93685,0,1305.855333,0,1472.45239,1,1,0,0,1360.095524
0,1374.704,1397.19,1333.27875,0,1305.674167,0,1471.058365,1,1,0,0,1376.826524
0,1397.264,1395.72,1336.8321,0,1305.788833,0,1469.601105,1,1,0,0,1397.05
0,1395.76,1402.783,1341.2586,0,1305.881783,0,1468.31031,1,1,0,0,1396.392667
0,1402.77,1418.638,1345.85005,0,1306.1886,0,1467.126425,1,1,0,0,1404.293
0,1418.663,1417.758,1351.1567,0,1307.0144,0,1465.93226,1,1,0,0,1418.55419
0,1417.756,1404.046,1356.85705,0,1308.205983,0,1464.7031,1,1,0,0,1416.452095
0,1404.018,1394.542,1362.94955,0,1310.367333,0,1463.369695,1,1,0,0,1403.140857
0,1392.245,1380.382,1368.43365,0,1312.0087,0,1461.99062,1,1,0,0,1393.193429
0,1380.404,1393.706,1371.8141,0,1313.343983,0,1460.590305,1,1,0,0,1381.650952
0,1393.712,1411.378,1375.78885,0,1315.175083,0,1459.335735,1,1,0,0,1395.389048
0,1411.405,1393.55,1379.89905,0,1317.451167,0,1457.999855,1,1,0,0,1409.680095
0,1393.54,1369.109,1382.927,1,1320.2048,0,1456.506045,1,1,0,0,1391.222286
0,1369.11,1390.651,1385.31055,0,1322.93775,0,1455.054195,1,1,0,0,1371.160619
0,1390.254,1388.672,1387.7191,0,1325.564267,0,1453.59538,1,1,0,0,1390.462524
0,1388.665,1386.737,1389.00455,1,1328.0522,0,1452.09199,1,1,0,0,1388.487714
0,1386.751,1366.085,1389.5434,1,1330.289317,0,1450.5013,1,1,0,0,1384.770143
0,1366.085,1364.938,1389.0069,1,1332.31065,0,1448.88375,1,1,0,0,1365.975762
0,1364.93,1327.13,1388.8868,1,1334.135433,1,1447.071635,1,1,0,0,1361.337238
0,1327.11,1325.053,1386.8129,1,1335.454167,1,1445.23385,1,1,0,0,1326.93219
0,1332.003,1329.785,1385.13755,1,1337.158717,1,1443.45868,1,1,0,0,1325.503667
0,1329.785,1312.647,1382.89265,1,1339.009667,1,1441.68385,1,1,0,0,1328.15281
0,1312.648,1306.568,1378.6655,1,1340.3222,1,1439.925945,1,1,0,0,1312.068048
0,1306.55,1367.717,1374.2079,1,1341.284667,0,1438.46798,1,1,0,0,1312.391714
0,1367.718,1365.475,1372.4546,1,1342.6963,0,1437.009555,1,1,0,0,1367.503476
0,1365.48,1325.196,1369.79645,1,1344.0258,1,1435.31479,1,1,0,0,1361.638905
0,1326.805,1329.421,1365.16835,1,1344.711567,1,1433.57829,1,1,0,0,1325.598381
